dati_definitivi_id	Sesso	Voto_LT	Voto_LM	Durata	Ricerca_PI	Tempo_PI	Fine_Studi	Major	Settore_PI	Phd	Luogo_PI	Retribuzione_PI	Cambio_Lavoro	Luogo_Phd	Retribuzione_Phd	PostDoc	Utilita_Phd	Settore_IA	Luogo_IA	Retribuzione_IA	Soddisfazione_Lavorativa	Soddisfazione_Laurea	Soddisfazione_Preparazione	Stage	Erasmus	Corsi_Extra	Comunicazione	Python
1	F	94	100	7	CS	Prelaurea	2012	3	Finanza	No	Italia	1200	Si	NA	NA	NA	NA	Finanza	Italia	2000	3	4	3	0	0	0	No	No
2	F	98	106	5	Autonomo	Prelaurea	2007	1	Finanza	No	Italia	1400	Si	NA	NA	NA	NA	Finanza	Italia	3800	5	5	5	0	0	0	Si	No
3	F	NA	104	NA	Contattato	Prelaurea	2017	2	ICT	No	Italia	1500	No	NA	NA	NA	NA	NA	NA	NA	4	4	3	0	0	0	No	No
4	F	90	105	7	MateDay	Prelaurea	2017	1	Consulenza	No	Italia	1250	No	NA	NA	NA	NA	NA	NA	NA	4	3	4	0	0	0	No	No
5	F	87	102	6	Contattato	Prelaurea	2018	2	Consulenza	No	Italia	600	No	NA	NA	NA	NA	NA	NA	NA	4	4	5	0	0	0	No	No
6	F	100	110	5	Autonomo	Prelaurea	2014	NA	Accademico	Si	NA	NA	NA	Europa	1500	Si	5	NA	NA	NA	5	5	4	0	0	0	No	No
7	F	111	111	5	Contattato	Prelaurea	2008	2	Accademico	Si	NA	NA	NA	Polimi	1100	Si	5	Accademico	EU2	3600	5	5	5	0	0	0	No	No
8	F	92	100	6	Contattato	Prelaurea	2014	3	NA	No	Italia	800	Si	NA	NA	NA	NA	Consulenza	Italia	2000	4	4	4	1	0	0	No	No
9	F	104	105	5	CS	Prelaurea	2011	1	Finanza	No	Italia	1500	Si	NA	NA	NA	NA	Consulenza	Italia	2500	4	3	3	1	0	0	No	No
10	F	104	107	6	CS	Prelaurea	2015	1	Finanza	No	Italia	1300	Si	NA	NA	NA	NA	Finanza	Italia	2000	4	4	5	1	0	0	No	No
11	F	108	111	5	Autonomo	Prelaurea	2014	3	Accademico	Si	NA	NA	NA	Europa	1400	Si	4	Accademico	EU1	2100	4	5	5	1	0	0	No	No
12	F	NA	107	6	MateDay	Prelaurea	2014	3	Accademico	Si	NA	NA	NA	Mondo	NA	No	5	RD	UK	NA	5	5	4	1	0	0	No	No
13	F	87	98	7	Contattato	Prelaurea	2017	2	ICT	No	Italia	800	Si	NA	NA	NA	NA	ICT	EU1	2300	4	4	4	0	1	0	No	Si
14	F	94	104	6	Contattato	Prelaurea	2015	1	Finanza	No	Italia	NA	Si	NA	NA	NA	NA	Consulenza	Italia	NA	4	5	4	0	1	0	Si	No
15	F	87	110	6	CS	Prelaurea	2017	2	ICT	No	Italia	1550	No	NA	NA	NA	NA	NA	NA	NA	2	3	1	0	1	0	No	Si
16	F	103	110	5.5	Autonomo	Prelaurea	2017	1	Finanza	No	UK	3100	No	NA	NA	NA	NA	NA	NA	NA	5	4	4	1	1	0	No	No
17	F	111	111	6	Autonomo	Prelaurea	2010	1	Data_Science	No	EU1	3800	No	NA	NA	NA	NA	NA	NA	NA	4	5	4	1	1	0	Si	No
18	F	105	111	5.5	Contattato	Prelaurea	2014	2	Accademico	Si	NA	NA	NA	Polimi	1200	No	4	Data_Science	Italia	1750	4	5	5	0	0	1	Si	Si
19	F	102	111	5	Contattato	Prelaurea	2015	2	Consulenza	No	Italia	1700	Si	NA	NA	NA	NA	Data_Science	Italia	2000	4	5	4	1	0	1	Si	Si
20	F	111	111	5	Phd_Tesi	Prelaurea	2007	3	Accademico	Si	NA	NA	NA	Mondo	1550	Si	5	RD	Mondo	5900	5	5	5	1	0	1	No	No
21	F	111	111	5	Autonomo	Prelaurea	2009	3	Accademico	Si	NA	NA	NA	Polimi	1200	Si	5	Accademico	EU2	4200	5	5	5	1	0	1	No	No
22	F	109	110	5	CS	Prelaurea	2014	3	ICT	No	Italia	1500	Si	NA	NA	NA	NA	Consulenza	EU2	6000	4	4	4	0	1	1	Si	No
23	F	98	108	5.5	CS	Prelaurea	2018	3	RD	No	Italia	1500	Si	NA	NA	NA	NA	Data_Science	Italia	1700	4	5	2	0	1	1	Si	No
24	F	111	106	5	Autonomo	Prelaurea	2011	1	Finanza	No	UK	2200	Si	NA	NA	NA	NA	Data_Science	Italia	2700	5	5	5	1	1	1	No	Si
25	F	102	107	5	Contattato	Prelaurea	2016	2	Data_Science	No	EU1	2500	Si	NA	NA	NA	NA	Data_Science	EU1	3100	5	4	3	1	1	1	Si	Si
26	F	98	107	5	Autonomo	Prelaurea	2016	2	Data_Science	No	Italia	1600	No	NA	NA	NA	NA	NA	NA	NA	5	5	4	1	1	1	No	No
27	F	97	110	7	Autonomo	Prelaurea	2016	2	Accademico	Si	NA	NA	NA	Europa	NA	No	5	NA	NA	NA	5	5	5	1	1	1	No	No
28	F	104	105	5	CS	Immediato	2014	1	ICT	No	Italia	700	Si	NA	NA	NA	NA	ICT	Italia	1800	4	4	4	0	0	0	Si	No
29	F	92	109	5.5	Contattato	Immediato	2014	2	ICT	No	Italia	1200	Si	NA	NA	NA	NA	ICT	Italia	1800	5	4	4	0	0	0	No	No
30	F	97	110	6	NA	Immediato	2016	1	Finanza	No	Italia	1350	Si	NA	NA	NA	NA	Finanza	EU2	5500	4	4	4	1	0	0	Si	No
31	F	82	92	6	CS	Immediato	2013	3	ICT	No	Italia	900	Si	NA	NA	NA	NA	ICT	Italia	1700	4	5	4	1	0	0	No	No
32	F	105	100	6	Contattato	Immediato	2014	2	ICT	No	Italia	1500	No	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	1	0	No	No
33	F	104	106	8	Contattato	Immediato	2016	2	ICT	No	Italia	1000	Si	NA	NA	NA	NA	Data_Science	Italia	2200	3	4	3	0	0	1	No	No
34	F	106	110	5	Contattato	Immediato	2014	2	Data_Science	No	Italia	1500	Si	NA	NA	NA	NA	Data_Science	Italia	NA	4	5	5	0	0	1	No	No
35	F	85	99	7	Autonomo	Immediato	2016	2	ICT	No	Italia	1300	Si	NA	NA	NA	NA	Data_Science	Italia	2000	4	5	3	0	0	1	Si	Si
36	F	87	100	6	Phd_Tesi	Immediato	2017	2	RD	No	Italia	1300	Si	NA	NA	NA	NA	NA	Italia	1900	5	4	4	0	0	1	No	No
37	F	105	111	5	Autonomo	Immediato	2018	2	Data_Science	No	Italia	1000	No	NA	NA	NA	NA	NA	NA	NA	4	5	5	1	0	1	Si	Si
38	F	108	106	5	Contattato	Immediato	2014	2	Data_Science	No	Italia	2450	No	NA	NA	NA	NA	NA	NA	NA	4	4	3	1	1	1	No	No
39	F	96	105	5.5	Autonomo	Immediato	2017	3	NA	Si	NA	NA	NA	Europa	1550	Boh	3	NA	NA	NA	5	4	4	1	1	1	Si	Si
40	F	101	108	5	Autonomo	Immediato	2008	2	Accademico	Si	NA	NA	NA	Polimi	1200	Si	5	Accademico	Italia	2200	5	5	5	1	1	1	No	No
41	F	86	NA	4	Contattato	Veloce	2012	NA	ICT	No	Italia	1400	Si	NA	NA	NA	NA	Finanza	Italia	2300	5	4	3	0	0	0	Si	Si
42	F	99	100	5	Autonomo	Veloce	2010	1	Finanza	No	Italia	600	Si	NA	NA	NA	NA	Data_Science	Italia	2200	5	5	4	0	0	0	No	No
43	F	NA	96	6	Autonomo	Veloce	2015	2	Data_Science	No	EU3	1600	Si	NA	NA	NA	NA	Data_Science	EU3	4200	5	3	4	0	0	0	Si	No
